Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
a7.15*,76,1.54564,a8.29*,112,0.715014,0.086898,21
a7.15*,76,1.54564,a8.30*,112,0.742106,,
a7.16*,76,1.63468,a8.31*,112,0.82617,-0.022636,22
a7.16*,76,1.63468,a8.32*,112,0.897509,,
B7.1,76,2.30667,B7.1,112,1.87826,0.42841,N/A
B7.2,76,2.42851,B7.2,112,2.48313,-0.05462,N/A
B8.5,76,2.04309,B8.5,112,1.34752,0.69557,N/A
B8.6,76,0.333001,B8.6,112,0.3614,-0.028399,N/A
B7.5,76,0.589435,B7.5,112,1.04545,-0.456015,N/A
B7.6,76,0.553026,B7.6,112,0.103657,0.449369,N/A
B8.7,76,1.49253,B8.7,112,1.69246,-0.19993,N/A
B8.8,76,1.39962,B8.8,112,2.11209,-0.71247,N/A
B7.7,76,1.68758,B7.7,112,2.0265,-0.33892,N/A
B7.8,76,1.57438,B8.15,112,0.662425,-1.001345,23
B7.8,76,1.57438,B8.16,112,0.68174,,
b7.9,76,1.66926,b8.17,112,0.742083,0.150557,24
b7.9,76,1.66926,b8.18,112,0.764699,,
b7.10,76,1.01108,b8.19,112,0.404501,0.50006,25
b7.10,76,1.01108,b8.20,112,0.757918,,
b7.11,76,1.34407,b8.21,112,0.468278,-0.215116,26
b7.11,76,1.34407,b8.22,112,0.858281,,
b7.12,76,1.51003,b8.23,112,0.865109,-0.37932,27
b7.12,76,1.51003,b8.24,112,0.655094,,
b7.13,76,1.27296,b8.25,112,0.517294,0.337642,28
b7.13,76,1.27296,b8.26,112,0.810889,,
b7.14,76,1.76189,b8.27,112,0.787251,-0.32518,29
b7.14,76,1.76189,b8.28,112,0.995977,,
b7.15,76,1.54038,b8.29,112,0.910981,-0.145068,30
b7.15,76,1.54038,b8.30,112,0.794871,,
b7.16,76,1.66879,b8.31,112,0.886692,-0.141183,31
b7.16,76,1.66879,b8.32,112,0.926111,,
B7.1*,76,2.05699,B7.1*,112,1.93178,0.12521,N/A
B7.2*,76,2.29811,B7.2*,112,2.49203,-0.19392,N/A
B8.5*,76,1.96356,B8.5*,112,1.82727,0.13629,N/A
B8.6*,76,0.21366,B8.6*,112,0.365126,-0.151466,N/A
B7.5*,76,0.629084,B7.5*,112,1.13682,-0.507736,N/A
B7.6*,76,0.522302,B7.6*,112,0.116692,0.40561,N/A
B8.7*,76,1.46626,B8.7*,112,1.77652,-0.31026,N/A
B8.8*,76,1.54771,B8.8*,112,2.04579,-0.49808,N/A
B7.7*,76,1.70275,B7.7*,112,1.68706,0.01569,N/A
B7.8*,76,1.68363,B8.15*,112,0.714208,-0.698518,32
B7.8*,76,1.68363,B8.16*,112,0.600155,,
b7.9*,76,1.53751,b8.17*,112,0.729638,0.353837,33
b7.9*,76,1.53751,b8.18*,112,0.815865,,
b7.10*,76,0.850428,b8.19*,112,0.338504,0.383141,34
b7.10*,76,0.850428,b8.20*,112,0.769395,,
b7.11*,76,1.1594,b8.21*,112,0.473292,-0.392259,35
b7.11*,76,1.1594,b8.22*,112,0.959316,,
b7.12*,76,1.62086,b8.23*,112,0.88341,-0.683326,36
b7.12*,76,1.62086,b8.24*,112,0.872926,,
b7.13*,76,1.19995,b8.25*,112,0.489681,0.258253,37
b7.13*,76,1.19995,b8.26*,112,0.823391,,
b7.14*,76,1.7688,b8.27*,112,0.824586,-0.448027,38
b7.14*,76,1.7688,b8.28*,112,0.87152,,
b7.15*,76,1.43019,b8.29*,112,0.873229,0.024051,39
b7.15*,76,1.43019,b8.30*,112,0.722868,,
b7.16*,76,1.47712,b8.31*,112,0.906304,-0.198982,40
b7.16*,76,1.47712,b8.32*,112,0.837953,,
